﻿Spotify URI, ID, Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0PeHQTWoq25q8TItzVfHYZ","Smukkest På En Søndag","Joey Moe","Smukkest På En Søndag","1","1","203860","spotify:user:","2016-05-31T08:52:40Z"
"spotify:track:7gZQfdEQpmwAoPHSbEHzms","False Alarm","Matoma, Becky Hill","False Alarm","1","1","224271","spotify:user:","2016-07-21T08:20:20Z"
"spotify:track:2hgzdQdnfWwtdpZbhZlV72","Ain't Your Mama","Jennifer Lopez","Ain't Your Mama","1","1","218234","spotify:user:","2016-05-09T12:08:50Z"
"spotify:track:0BiGd2FNDQ0eh79ZHfp6tS","All I Wanna Do","Martin Jensen","All I Wanna Do","1","1","194360","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:38K3KYlPYK568iu4gWJbX3","Bring Back the Summer - Boehm Remix (Radio Edit)","Rain Man, Oly, Boehm","Bring Back the Summer (Remixes Part 1)","1","1","225306","spotify:user:","2016-06-04T15:59:29Z"
"spotify:track:372x09E4rR1iEfurI9OKW2","Fredag (feat. Bar Z)","Eebz, Bar Z","Fredag (feat. Bar Z)","1","1","164731","spotify:user:","2016-07-11T06:59:43Z"
"spotify:track:2Z8WuEywRWYTKe1NybPQEW","Ride","Twenty One Pilots","Blurryface","1","3","214506","spotify:user:","2016-05-31T08:48:49Z"
"spotify:track:0yJv0G7r1PZIl1CY5XhvkR","Thinking About It (Let It Go) - KVR Remix","Nathan Goshen, KVR","Thinking About It (Let It Go) [KVR Remix]","1","1","183564","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:3EWxdqHnIzpqnLQN4O7pC6","New Obsession - Lost Kings Remix","FRANKIE, Lost Kings","New Obsession (The Remixes)","1","1","217453","spotify:user:","2016-06-15T07:35:04Z"
"spotify:track:5mMRgTxoeBjEAZdBjPGvaC","Make My Love Go","Jay Sean, Sean Paul","Make My Love Go","1","1","211780","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:4qqArAiTPueDxIp7cf87h7","Final Song","MØ","Final Song","1","1","235826","spotify:user:","2016-05-13T04:01:51Z"
"spotify:track:1A5yplwEk6cJbAL63L6bkp","Bailar (feat. Pitbull & Elvis Crespo)","Deorro, Pitbull, Elvis Crespo","Bailar (feat. Pitbull & Elvis Crespo)","1","1","160304","spotify:user:","2016-09-02T08:34:59Z"
"spotify:track:42ftjU4cTN5UTRksyqBKZJ","Cake By The Ocean","DNCE","SWAAY","1","1","218440","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:0gb1J5UrTpzaU1s3nupgCd","No Money","Galantis","No Money","1","1","189126","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:3AVnIi6HvEiHGlIj4c6ok2","Pong Dance","Vigiland","Pong Dance","1","1","157500","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:06KyNuuMOX1ROXRhj787tj","We Don't Talk Anymore","Charlie Puth, Selena Gomez","Nine Track Mind","1","5","217706","spotify:user:","2016-05-12T10:41:39Z"
"spotify:track:6UcTHiP25meOD9ox8Rspgx","Sing Me to Sleep","Alan Walker","Sing Me to Sleep","1","1","189333","spotify:user:","2016-06-14T10:09:17Z"
"spotify:track:3gTxO5H5r7H1zacnPG7CKJ","Magisk","Nik & Jay","Frels Mig / Magisk","1","2","223751","spotify:user:","2016-07-12T06:38:22Z"
"spotify:track:70Cm5oZVkN7ggBU0jD1Mhq","Come Closer (feat. David Jay)","Faustix, David Jay","Come Closer (feat. David Jay)","1","1","192298","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:5zcvggichdRNXUyjeSQDZi","For Evigt","Volbeat, Johan Olsen","For Evigt","1","1","283366","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:1TTXdTetSGYnDJFg0MbMQd","I Won't Let You Down (feat. Bekuh Boom)","Christopher, Bekuh Boom","I Won't Let You Down (feat. Bekuh Boom)","1","1","220800","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:27SdWb2rFzO6GWiYDBTD9j","Cheap Thrills","Sia","This Is Acting","1","6","211666","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:3D7rcEEifDAaTdeUL7tbpv","Paradise (feat. KStewart)","Matoma, Sean Paul, KStewart","Paradise (feat. KStewart)","1","1","184173","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:5YHR8wBR5jXfGtP766NiAT","If It Ain't Love","Jason Derulo","If It Ain't Love","1","1","203105","spotify:user:","2016-05-02T13:02:45Z"
"spotify:track:1z5jOmNswvnzjC5gFLu5Dv","Hotter Than Hell","Dua Lipa","Hotter Than Hell","1","1","187957","spotify:user:","2016-05-06T04:34:57Z"
"spotify:track:6DsFZITJMPnh8z5XewfVmL","Raging (feat. Kodaline)","Kygo, Kodaline","Raging (feat. Kodaline)","1","1","224486","spotify:user:","2016-05-02T13:02:45Z"
